DATE,MIN,MAX,HUMIDITY,RAINFALL,DANGUE,LEVEL
2017-012--01,15.77607143,27.08102467,82.70414747,1.595825427,126,3
2018-01--01,11.00825206,23.52267567,88.38407102,4.451612903,26,2
2018-02--01,16.05290698,28.72025963,79.56395349,10.96428571,7,2
2018-03--01,20.41477869,32.39107277,74.15011511,28.58064516,19,2
2018-04--01,22.38596365,32.54735659,74.20029404,248.9333333,29,2
2018-05--01,23.84955239,32.01730433,78.58092737,429.6774194,52,2
2018-06--01,25.91903826,28.0627907,82.31617809,653.1666667,295,3
2018-07--01,26.36736684,32.1605964,84.50940235,689.1612903,946,5
2018-08--01,26.48582146,32.99842226,82.82406809,355.2258065,1796,7
2018-09--01,26.0527907,33.24901809,81.18692863,263.1666667,3087,7
2018-010--01,22.64686646,31.37842961,80.26309077,181.2258065,2406,7
2018-011--01,17.92813953,29.997776,77.34087308,6.5,1192,5
2018-012--01,13.58079166,26.10402191,79.0038995,16.22580645,293,3
2019-01--01,12.06204051,26.74103526,77.99024756,0,38,2
2019-02--01,15.06037898,27.98712009,77.54675772,56.17857143,18,2
